band_name,fans,formed,origin,style,split
Illidiance,26,2004,Russia,"Symphonic black,Industrial",2004
Lord,26,2003,Australia,"Power,Heavy",-
Manslaughter,26,2007,Poland,"Death,Black",2007
Obtest,26,1992,Lithuania,"Brutal death,Pagan black,Pagan folk",-
Oceans Of Slumber,26,2011,USA,Extreme progressive,2011
Ram-Zet,26,1998,Norway,Extreme avantgarde,-
Sacrifice,26,1983,Canada,Thrash,1983
Salem,26,1985,Israel,"Black,Doom,Death",-
Satariel,26,1993,Sweden,"Black,Melodic death",1993
Shakra,26,1997,Switzerland,"Hard rock,Heavy",-
Tharaphita,26,1995,Estonia,Pagan black,1995
The Black Mages,26,2003,Japan,Progressive,2010
Thy Serpent,26,1992,Finland,Melodic black,1992
To Cast A Shadow,26,2005,Norway,"Doom,Gothic",-
Yggdrasil,26,2001,Sweden,Folk,2001
1000 Funerals,25,2005,Iran,Funeral doom,2011
Aaskereia,25,1997,Germany,Pagan black,1997
Amaran,25,2000,Sweden,Gothenburg,2005
Angelcorpse,25,1995,USA,Blackened death,1995
ASP,25,1999,Germany,"Industrial gothic,Gothic rock",-
Beyond Fear,25,2005,USA,Heavy,2005
Blackthorn,25,2004,Russia,Symphonic gothic,-
Blitzkrieg,25,1980,United Kingdom,"New wave of british heavy,Heavy",1980
Christian Muenzner,25,2011,Germany,"Progressive,Instrumental",-
Christopher Lee,25,2009,United Kingdom,"Heavy,Power",2009
Concerto Moon,25,1996,Japan,Power,-
Coronatus,25,2002,Germany,Gothic,2002
Death Breath,25,2005,Sweden,Death,-
Depressed Mode,25,2005,Finland,"Funeral doom,Melodic death",2005
Fall Of The Leafe,25,1996,Finland,"Melodic death,Gothic,Heavy",2007
Forever Slave,25,2000,Spain,Gothic,2000
Gallhammer,25,2003,Japan,"Black,Crust,Punk",-
Germ,25,2003,Australia,"Depressive black,Electronica,Shoegaze",2003
Glittertind,25,2001,Norway,"Viking folk,Punk rock",-
Irminsul,25,2005,Sweden,Viking folk,2005
Izegrim,25,1996,The Netherlands,"Death,Melodic death,Thrash",-
Lääz Rockit,25,1982,USA,Bay area thrash,1982
Make Them Suffer,25,2008,Australia,Symphonic deathcore,-
Michael Schenker's Temple Of Rock,25,1979,Germany,Hard rock,1979
Moi Dix Mois,25,2002,Japan,Symphonic gothic,-
Mustasch,25,1998,Sweden,Heavy,1998
Odroerir,25,1998,Germany,Pagan folk,-
Pillorian,25,2016,USA,Atmospheric black,2016
Sanctity,25,2000,USA,Melodic thrash,2008
Saviour Machine,25,1989,USA,Gothic,1989
Sinamore,25,1998,Finland,"Gothic,Gothic rock",-
Sons Of Aeon,25,2009,Finland,Melodic death,2009
Steelheart,25,1990,USA,"Glam,Gothic",-
Stone,25,1985,Finland,"Speed,Thrash",1985
The Howling Void,25,2007,USA,"Funeral doom,Symphonic doom",-
The Prophecy,25,2001,United Kingdom,Death doom,2001
Thronar,25,1998,The Netherlands,"Atmospheric black,Folk",2009
Toundra,25,2007,Spain,Instrumental post-metal,2007
Tremonti,25,2011,USA,Heavy,-
Visceral Bleeding,25,1999,Sweden,Brutal death,1999
Winter,25,1988,USA,Death doom,-
Alarum,24,1992,Australia,"Progressive,Fusion",1992
Barón Rojo,24,1980,Spain,"Hard rock,Heavy",-
Battle Of Mice,24,2005,USA,Post-metal,2005
Benedictum,24,2005,USA,Heavy,-
Bison B.C.,24,2006,Canada,Sludge,2006
Black Country Communion,24,2009,USA,"Hard rock,Blues rock",2013
Carnal Forge,24,1997,Sweden,"Death,Thrash",1997
Cemetary,24,1989,Sweden,"Death,Gothic",2005
Demon,24,1979,United Kingdom,"New wave of british heavy,Hard rock,Heavy",1979
Diamond Plate,24,2004,USA,Thrash,-
Disincarnate,24,1992,USA,Death,1992
End Of You,24,2003,Finland,Suomi,-
Eulen,24,2009,Syria,"Doom,Black",2009
Forsaken,24,1990,Malta,"Doom,Heavy",-
Galloglass,24,1999,Germany,Power,1999
Grave Miasma,24,2006,United Kingdom,Death,-
Harmony,24,2000,Sweden,Progressive power,2000
Hatriot,24,2010,USA,Thrash,-
Headspace,24,2006,United Kingdom,"Progressive,Progressive rock",2006
Horseback,24,2006,USA,"Ambient,Drone,Post-,Rock",-
Hoth,24,2011,USA,"Melodic black,Melodic death",2011
Hunter,24,1986,Poland,"Thrash,Alternative",-
Indian,24,2003,USA,"Blackened sludge,Doom",2003
Living Sacrifice,24,1989,USA,"Death,Metalcore,Thrash",-
Naildown,24,2003,Finland,Melodic death,2003
One Man Army And The Undead Quartet,24,2004,Sweden,"Death,Thrash",2012
Prototype,24,1994,USA,Progressive,1994
Regurgitate,24,1990,Sweden,Goregrind,-
Sahg,24,2004,Norway,Stoner,2004
Severed Savior,24,1999,USA,"Brutal death,Technical death",-
Spheric Universe Experience,24,1999,France,Progressive,1999
Tokyo Blade,24,1982,United Kingdom,"New wave of british heavy,Heavy",-
Votum,24,2003,Poland,"Heavy,Progressive",2003
Ade,23,2007,Italy,Death,-
Anti,23,2004,Germany,Depressive black,2004
Arch/Matheos,23,2010,USA,Progressive,-
Believer,23,1986,USA,Technical thrash,1986
Blaze Of Perdition,23,2004,Poland,Black,-
Byfrost,23,2007,Norway,"Black,Thrash",2007
Catacombs,23,2000,USA,Funeral doom,-
Conan,23,2006,United Kingdom,"Doom,Stoner",2006
Count Raven,23,1989,Sweden,Doom,-
Cripper,23,2005,Germany,Thrash,2005
Darkest Era,23,2005,United Kingdom,"Folk,Doom,Heavy",-
Defiance,23,1985,USA,Thrash,1985
Demonica,23,2008,Denmark,Thrash,-
Downfall Of Gaia,23,2008,Germany,"Atmospheric sludge,Post-metal",2008
Fifth Angel,23,1983,USA,Us power,-
Galar,23,2004,Norway,"Viking black,Folk,Neofolk",2004
Helltrain,23,2002,Sweden,"Death ',N',Roll",-
Hypomanie,23,2007,The Netherlands,"Shoegaze ,Black",2007
Inter Arma,23,2006,USA,Blackened sludge,-
Iommi,23,2000,United Kingdom,"Heavy,Hard rock",2000
Kipelov,23,1997,Russia,Heavy,-
Mantic Ritual,23,2005,USA,Thrash,2005
Massacra,23,1986,France,"Death,Groove thrash,Heavy,Thrash",1997
Mechanical Poet,23,2002,Russia,Symphonic progressive,2002
Mindplotter,23,2008,Ukraine,Math,-
Misery Signals,23,2002,USA,Metalcore,2002
Nasheim,23,2001,Sweden,Black,-
Nazxul,23,1993,Australia,Black,1993
Obscurity,23,1997,Germany,"Pagan folk,Viking black",-
Ramp,23,1989,Portugal,"Heavy,Industrial thrash,Thrash",1989
Regarde Les Hommes Tomber,23,2011,France,"Black,Post-metal,Sludge",-
Runemagick,23,1990,Sweden,"Death,Death doom",1990
Shrinebuilder,23,2008,USA,"Doom,Sludge,Stoner",-
Stormwitch,23,1979,Germany,Heavy,1979
Thanatos,23,1984,The Netherlands,"Death,Thrash",-
The Hourglass,23,2002,Syria,Heavy,2002
The Provenance,23,1995,Sweden,"Experimental gothic,Progressive death,Doom",2008
The Rotted,23,1997,United Kingdom,"Grindcore,Brutal death,Death,Punk",1997
Today Is The Day,23,1992,USA,"Hardcore,Noise rock",-
Vampiria,23,1997,Argentina,Blackened gothic,1997
Wormlust,23,2003,Iceland,Black,-
Yyrkoon,23,1995,France,Death,1995
Zonata,23,1998,Sweden,Power,2003
Ørkenkjøtt,22,2005,Norway,Extreme progressive,2005
Acherontas,22,2007,Greece,Black,-
Alabama Thunderpussy,22,1996,USA,"Stoner,Heavy",1996
Antediluvian,22,2006,Canada,Blackened death,-
Argus,22,2005,USA,"Doom,Heavy",2005
Black Fast,22,2010,USA,"Thrash,Progressive black",-
Breakdown Of Sanity,22,2007,Switzerland,"Metalcore,Deathcore",2007
Celeste,22,2005,France,"Black,Sludge,Hardcore",-
Chaos Moon,22,2004,USA,Atmospheric black,2004
Christ Agony,22,1990,Poland,Black,-
Comatose Vigil,22,2003,Russia,Funeral doom,2003
Crimson Moonlight,22,1997,Sweden,Black,-
De Profundis,22,2005,United Kingdom,"Death doom,Extreme progressive,Technical death",2005
Demians,22,2007,France,"Alternative rock,Progressive",-
Descending,22,2007,Greece,"Gothenburg,Metalcore",2007
Dreamscape,22,1986,Germany,Progressive,-
For Today,22,2005,USA,Metalcore,2005
Frailty,22,2003,Latvia,Death doom,-
Genghis Tron,22,2004,USA,Cyber grindcore,2004
Gernotshagen,22,1999,Germany,"Pagan black,Folk",-
Happy Days,22,2004,USA,Depressive black,2004
Hatchet,22,2006,USA,Bay area thrash,-
How Like A Winter,22,1999,Italy,Gothic doom,1999
Liege Lord,22,1982,USA,"Us power,Thrash",-
Loudblast,22,1985,France,"Death,Thrash",1985
Lychgate,22,2001,United Kingdom,"Progressive black,Atmospheric black",-
Mütiilation,22,1991,France,Black,1991
Magrudergrind,22,2002,USA,Grindcore,-
Michael Kiske,22,1996,Germany,Hard rock,1996
Misanthrope,22,1988,France,Melodic death,-
Nirvana 2002,22,1988,Sweden,Death,1988
Orphanage,22,1993,The Netherlands,"Melodic death,Gothic",2005
Ovid's Withering,22,2010,USA,"Blackened deathcore,Symphonic deathcore,Progressive deathcore",2010
Realm,22,1985,USA,Progressive thrash,1992
Repugnant,22,1998,Sweden,"Death,Thrash",1998
Rob Rock,22,2000,USA,Us power,-
RoutaSielu,22,2010,Finland,Melodic death,2010
Shadowside,22,2001,Brazil,Power,-
Signum Regis,22,2007,Slovak Republic,"Progressive,Power",2007
Sombres Forêts,22,2005,Canada,Black,-
Sunpocrisy,22,2007,Italy,"Progressive death,Atmospheric sludge,Post-metal",2007
Symphorce,22,1998,Germany,Power,2011
The Arcane Order,22,2000,Denmark,"Melodic death,Thrash",2000
The Browning,22,2005,USA,"Metalcore,Trancecore",-
The Flight Of Sleipnir,22,2007,USA,"Doom,Folk,Stoner",2007
Turbo,22,1980,Poland,"Hard rock,Heavy,Thrash,Speed",-
Until Death Overtakes Me,22,1999,Belgium,"Funeral doom,Ambient",1999
Vinnie Moore,22,1986,USA,"Hard rock,Neoclassical,Instrumental",-
Viraemia,22,2008,USA,"Brutal death,Technical death",2008
Voices,22,2011,United Kingdom,Black,-
Wormphlegm,22,2000,Finland,"Funeral doom,Drone",2000
Act Of Defiance,21,2014,USA,"Heavy,Thrash",-
Aes Dana,21,1994,France,"Atmospheric black,Celtic black",1994
Aeveron,21,2002,Germany,"Melodic death,Black",-
Aluk Todolo,21,2004,France,"Black,Krautrock",2004
Armory,21,2001,USA,Power,-
Autumnia,21,2003,Ukraine,"Melodic death,Doom",2003
Avrigus,21,1995,Australia,"Gothic doom,Neoclassical darkwave",-
Blazing Eternity,21,1993,Denmark,Atmospheric doom,1993
Catafalque,21,1997,Turkey,Gothic,-
Chalice Of Doom,21,2010,Jordan,"Melodic death,Doom",2010
Chthe'ilist,21,2010,Canada,Death,-
Cruciamentum,21,2005,United Kingdom,Death,2005
Divinity,21,1999,Canada,"Progressive death,Thrash",-
Dol Ammad,21,2000,Greece,Electronic symphonic,2000
Dreamland,21,2003,Sweden,"Heavy,Power",-
Eisregen,21,1995,Germany,Gothic black,1995
Eyefear,21,1994,Australia,"Progressive,Power",-
Fear Of Domination,21,2006,Finland,"Melodic death,Industrial",2006
First Fragment,21,2007,Canada,Technical death,-
Frequency Of Butterfly Wings,21,2009,Iran,"Melodic death,Doom",2009
Fuck The Facts,21,1999,Canada,"Grindcore,Noise",-
Grey Heaven Fall,21,2006,Russia,"Black,Death",2006
Gruesome,21,2014,USA,Death,-
Illogicist,21,1997,Italy,Technical death,1997
Insect Warfare,21,2004,USA,Grindcore,2008
Ion Dissonance,21,2002,Canada,"Deathcore,Math,Metalcore",2002
Istapp,21,2005,Sweden,Melodic black,-
Kriegsmaschine,21,2002,Poland,Black,2002
Mörk Gryning,21,1993,Sweden,Black,2005
Mar?olea,21,2008,Romania,Pagan black,2008
Nevid,21,2004,Russia,Pagan folk,-
Nostradameus,21,1998,Sweden,"Power,Thrash",1998
Phantasma (NED),21,2015,The Netherlands,Symphonic,-
Psyopus,21,2002,USA,"Metalcore,Technical grindcore",2002
Rise Of Avernus,21,2010,Australia,"Progressive gothic,Progressive doom",-
Sarke,21,2008,Norway,"Black,Black 'n,Roll",2008
Serious Black,21,2013,Germany,Power,-
Seth,21,1995,France,Black,1995
Supreme Majesty,21,1999,Sweden,Power,-
Symphonity,21,1994,Czech Republic,Symphonic power,1994
The Wretched End,21,2008,Norway,"Death,Thrash",-
Unholy,21,1988,Finland,Death doom,1988
Valtari,21,2010,Australia,Melodic death,-
Volumes,21,2009,USA,"Math,Djent",2009
Árstíðir Lífsins,20,2008,Iceland,"Black,Folk",-
Advent Sorrow,20,2010,Australia,"Symphonic black,Death",2010
Amogh Symphony,20,2003,India,"Progressive death,Avantgarde",-
Ancient Ascendant,20,2005,United Kingdom,Death,2005
Annotations Of An Autopsy,20,2006,United Kingdom,"Deathcore,Brutal death",2013
Attacker,20,1983,USA,Us power,1983
Canaan,20,1996,Italy,Doom,-
Carcariass,20,1991,France,Technical death,1991
Centinex,20,1990,Sweden,Death,-
Ceremonial Oath,20,1988,Sweden,"Melodic death,Gothenburg",1988
Circle Of Dead Children,20,1998,USA,Grindcore,2013
Convulse,20,1988,Finland,"Death,Speed",1988
Crystalic,20,1998,Finland,"Progressive,Melodic death",-
Doom,20,1987,United Kingdom,"Crust,Punk",1987
Enter Shikari,20,1999,United Kingdom,"Metalcore,Trancecore",-
Flourishing,20,2009,USA,"Technical death,Grindcore,Sludge",2009
Forgotten Tales,20,1999,Canada,Power,-
Garden Of Shadows,20,1995,USA,Melodic death,1995
Grayceon,20,2005,USA,Progressive,-
Hackneyed,20,2006,Germany,Death,2006
I Killed The Prom Queen,20,2000,Australia,Metalcore,-
Infinite Tales,20,2007,Ukraine,Gothenburg,2007
Insision,20,1997,Sweden,Brutal death,-
iwrestledabearonce,20,2007,USA,"Avantgarde metalcore,Avantgarde math",2007
Karlahan,20,2006,Spain,"Melodic death,Symphonic death",-
Karma To Burn,20,1994,USA,Stoner,1994
Krieg,20,1995,USA,Black,-
Lamented Souls,20,1991,Norway,Doom,1991
Landmine Marathon,20,2004,USA,Death,-
Malignancy,20,1992,USA,Brutal death,1992
Myrkskog,20,1993,Norway,"Black,Brutal death",-
Necros Christos,20,2001,Germany,"Black,Death",2001
Netherbird,20,2004,Sweden,Melodic black,-
Nov-07,20,2005,Switzerland,"Symphonic,Heavy,Industrial",2005
Octavia Sperati,20,2000,Norway,Gothic,-
Old Man Gloom,20,1999,USA,"Post-metal,Sludge",1999
Pokolgép,20,1980,Hungary,Heavy,-
Pressure Points,20,2004,Finland,"Progressive,Death",2004
Profetus,20,2006,Finland,Funeral doom,-
Psychonaut 4,20,2010,Georgia,Depressive black,2010
Raubtier,20,2008,Sweden,Industrial,-
Ride The Sky,20,2006,Sweden,Progressive power,2006
Ripping Corpse,20,1987,USA,"Death,Thrash",1993
Steve Harris,20,2012,United Kingdom,Heavy,2012
Sunrise,20,2003,Ukraine,Power,-
Thank You Scientist,20,2009,USA,Progressive rock,2009
The Gates Of Slumber,20,1998,USA,Doom,2013
Vordven,20,1996,Finland,Atmospheric black,1996
Abyssic Hate,19,1993,Australia,"Black,Depressive black",-
Ador Dorath,19,1997,Czech Republic,Gothic black,1997
Agora,19,1995,Mexico,Progressive,-
Alkerdeel,19,2005,Belgium,"Black,Sludge",2005
Arion,19,2011,Finland,"Symphonic,Power",-
Arizmenda,19,2007,USA,Psychedelic black,2007
Arrayan Path,19,2011,"USA, Cyprus","Power,Heavy",-
Ash Borer,19,2008,USA,Black,2008
Atargatis,19,1997,Germany,Symphonic gothic,-
Battleroar,19,2000,Greece,Heavy,2000
Besatt,19,1991,Poland,Black,-
Blood Tsunami,19,2004,Norway,"Thrash,Death",2004
Bullet,19,2001,Sweden,"Heavy,Hard rock",-
Cirith Gorgor,19,1993,The Netherlands,Black,1993
Coprofago,19,1993,Chile,"Technical thrash,Progressive thrash,Math",-
Darksun,19,2002,Spain,Symphonic power,2002
Dawnbringer,19,1995,USA,"Blackened heavy,Heavy",-
Den Saakaldte,19,2006,Norway,Black,2006
Device,19,2012,USA,"Alternative,Industrial",-
Dezperadoz,19,1999,Germany,Heavy,1999
Empyrios,19,2001,Italy,Progressive thrash,-
FEJD,19,2001,Sweden,Folk,2001
Filter,19,1993,USA,"Industrial rock,Alternative rock",-
Fortíð,19,2002,Iceland,Black,2002
Guardians Of Time,19,1997,Norway,Power,-
Hangar,19,1997,Brazil,Power,1997
Heol Telwen,19,1999,France,"Celtic black,Celtic folk",-
Krypt,19,2006,Norway,Black,2006
Machine Men,19,1998,Finland,Heavy,2011
Marionette,19,2005,Sweden,"Melodic death,Metalcore",2005
Meliah Rage,19,1987,USA,"Power,Thrash",-
Minas Morgul,19,1997,Germany,Pagan black,1997
Mystic Circle,19,1992,Germany,Melodic black,-
Narjahanam,19,2004,Bahrain,Death,2004
Norma Jean,19,1997,USA,Metalcore,-
Pryapisme,19,2000,France,Avantgarde,2000
Revenge,19,2000,Canada,"Black,Death",-
Scanner,19,1986,Germany,Power,1986
Seeds Of Iblis,19,2011,Iraq,Black,-
Seraphim,19,2001,Taiwan,Power,2001
Sex Machineguns,19,1989,Japan,"Power,Speed",-
Skylark,19,1994,Italy,Power,1994
Striborg,19,1994,Australia,Ambient black,-
Sun Caged,19,1999,The Netherlands,Progressive,1999
Sun Devoured Earth,19,2009,Latvia,"Atmospheric black,Post-,Rock,Shoegaze",-
Teramaze,19,1993,Australia,Progressive,1993
The Bishop Of Hexen,19,1994,Israel,Symphonic black,-
The Blinded,19,2000,Sweden,"Gothenburg,Melodic metalcore",2000
The Murder Of My Sweet,19,2007,Sweden,Symphonic,-
Trist,19,2000,Germany,Ambient black,2000
Usurper,19,1993,USA,"Black,Death,Thrash",-
What Mad Universe,19,2008,France,"Post-,Rock,Atmospheric sludge",2008
Öxxö Xööx,18,2005,France,"Doom,Gothic",-
Akelei,18,2006,The Netherlands,Atmospheric doom,2006
Alda,18,2007,USA,"Atmospheric black,Neofolk",-
Appearance Of Nothing,18,2004,Switzerland,"Progressive,Symphonic power",2004
Arven,18,2006,Germany,Melodic power,2015
Battlesoul,18,2007,Canada,"Folk,Thrash",2007
Beto Vázquez Infinity,18,2000,Argentina,Symphonic,-
Betraying The Martyrs,18,2008,France,"Progressive deathcore,Symphonic death",2008
Borgne,18,1998,Switzerland,Atmospheric black,-
Bran Barr,18,1995,France,Celtic folk,1995
Cloudscape,18,2001,Sweden,Progressive,-
Cryptic Slaughter,18,1984,USA,Crossover thrash,1984
Crystallion,18,2003,Germany,Power,-
Dark Flood,18,1996,Finland,Melodic death,1996
Darkened Nocturn Slaughtercult,18,1997,Germany,Black,-
Deathhammer,18,2005,Norway,Thrash,2005
Eden's Curse,18,2006,United Kingdom,"Hard rock,Heavy",-
Evil Masquerade,18,2003,Denmark,"Power,Progressive",2003
Farshid Arabi,18,2003,Iran,Heavy,-
Funeral Mourning,18,2005,Australia,"Black,Funeral doom",2005
George Kollias,18,2008,Greece,Death,-
Ghost Ship Octavius,18,2012,USA,Progressive,2012
Hands Of Despair,18,2008,Canada,Progressive black,-
Hanoi Rocks,18,1979,Finland,Glam rock,1979
Holocaust,18,1977,United Kingdom,"New wave of british heavy,Heavy,Progressive",-
Inactive Messiah,18,2001,Greece,"Industrial death,Melodic death",2001
Infernäl Mäjesty,18,1986,Canada,Thrash,-
Khemmis,18,2012,USA,Doom,2012
Lonewolf,18,1992,France,"Heavy,Power",-
Mind's Eye,18,1992,Sweden,Progressive,1992
Mortad,18,2010,United Kingdom,"Death,Thrash",-
My Shameful,18,1999,Finland,Death doom,1999
My Sleeping Karma,18,2005,Germany,"Psychedelic rock,Stoner rock",-
Nazgul,18,1996,Italy,"Black,Folk",1996
Nero Di Marte,18,2007,Italy,"Extreme progressive,Progressive death,Alternative",-
New Keepers Of The Water Towers,18,2009,Sweden,"Doom,Stoner,Progressive rock",2009
Okera,18,2006,Australia,"Melodic death,Doom",-
Priestess,18,2003,Canada,"Hard rock,Stoner rock",2003
Profane Omen,18,1999,Finland,"Groove thrash,Alternative",-
Red Harvest,18,1989,Norway,"Thrash,Industrial",1989
Reflexion,18,1996,Finland,Suomi,-
Resurrection,18,1990,USA,Death,1990
Semargl,18,1997,Ukraine,"Melodic black,Blackened death,Industrial,Electronic",-
Skitliv,18,2005,Norway,"Black,Doom",2005
Son Of Aurelius,18,2009,USA,"Technical death,Progressive",-
Sworn,18,2005,Norway,Melodic black,2005
The Atlas Moth,18,2007,USA,"Stoner,Sludge",-
The Forsaken,18,1997,Sweden,Melodic death,1997
Ultra Vomit,18,1999,France,"Grindcore,Hard rock,Heavy,Gothenburg",-
Verjnuarmu,18,2001,Finland,Melodic death,2001
Vertigo Steps,18,2007,Portugal,Progressive,-
Vomit The Soul,18,1999,Italy,Brutal death,1999
Wayfarer,18,2012,USA,Atmospheric black,-
Wovenwar,18,2013,USA,Alternative,2013
Accu§er,17,1986,Germany,Thrash,-
Almanac,17,2015,Germany,Symphonic power,2015
Anthem,17,1981,Japan,Heavy,-
Apocynthion,17,2010,Spain,"Black,Post-metal",2010
Brocas Helm,17,1982,USA,Heavy,-
Burden Of Grief,17,1994,Germany,Melodic death,1994
Burning Point,17,1999,Finland,Melodic power,-
Bury Tomorrow,17,2006,United Kingdom,Melodic metalcore,2006
Cadaver,17,1988,Norway,Death,-
Cave In,17,1991,USA,"Alternative rock,Hardcore",1991
Channel Zero,17,1990,Belgium,Thrash,-
Chaos Ech?s,17,2011,France,"Death,Doom",2011
Corpsessed,17,2007,Finland,Death,-
Corpus Christii,17,1998,Portugal,Black,1998
Darkest Horizon,17,2010,Germany,Melodic death,-
Dawn Of Ashes,17,2001,USA,"Aggrotech,Melodic black,Industrial",2001
Deinonychus,17,1992,The Netherlands,"Black,Doom",-
Demiurg,17,2006,Sweden,Death,2006
Disbelief,17,1991,Germany,"Death,Sludge",-
Disfiguring The Goddess,17,2006,USA,"Brutal death,Grindcore",2006
Dominici,17,2004,USA,Progressive,-
Doomed,17,2011,Germany,Death doom,2011
Eldritch,17,1991,Italy,"Power,Thrash",-
Elexorien,17,2004,The Netherlands,"Symphonic power,Black",2004
Enchant,17,1989,USA,"Progressive,Progressive rock",-
Enthring,17,2006,Finland,"Melodic death,Symphonic",2006
Faanefjell,17,2009,Norway,"Symphonic black,Folk",-
Facebreaker,17,1999,Sweden,"Death,Thrash",1999
Fragments Of Unbecoming,17,2000,Germany,Melodic death,-
General Surgery,17,1988,Sweden,Grindcore,1988
Haemorrhage,17,1990,Spain,Goregrind,-
Hearse,17,2001,Sweden,Melodic death,2001
Horn Of The Rhino,17,2005,Spain,"Doom,Sludge",2016
Icewind,17,2001,Canada,Power,2001
Impetigo,17,1987,USA,"Grindcore,Death",1993
Impiety,17,1990,Singapore,"Death,Blackened thrash",1990
Inanimate Existence,17,2010,USA,"Brutal death,Technical death",-
Indesinence,17,2001,United Kingdom,Death doom,2001
Jambinai,17,2009,"Korea, South","Folk,Post-metal",-
Kaledon,17,1998,Italy,Power,1998
Kill Devil Hill,17,2011,USA,Heavy,-
Legenda Aurea,17,2005,Switzerland,"Symphonic power,Symphonic progressive",2005
Leng Tch'e,17,2001,Belgium,Grindcore,-
Lion's Share,17,1987,Sweden,"Power,Thrash",1987
Loch Vostok,17,2001,Sweden,"Extreme progressive,Melodic death",-
Lost In Thought,17,2007,United Kingdom,Progressive,2007
Malefice,17,2003,United Kingdom,Metalcore,-
Manigance,17,1995,France,Heavy,1995
Metal Allegiance,17,2014,USA,"Heavy,Thrash",-
Monumental Torment,17,2009,Russia,Technical death,2009
Moonlyght,17,1995,Canada,Progressive,-
Mumakil,17,2004,Switzerland,Grindcore,2004
Mysticum,17,1992,Norway,Industrial black,-
Necronomicon,17,1983,Germany,Thrash,1983
